country,year1,year2,index1,index2,households
ethiopia,2011,2015,0,329,6.0
ethiopia,2011,2015,1,330,9.0
ethiopia,2011,2015,2,331,6.0
ethiopia,2011,2015,3,332,10.0
ethiopia,2011,2015,4,333,2.0
ethiopia,2011,2015,5,334,7.0
ethiopia,2011,2015,6,335,4.0
ethiopia,2011,2015,7,336,9.0
ethiopia,2011,2015,8,337,7.0
ethiopia,2011,2015,9,338,7.0
ethiopia,2011,2015,10,339,9.0
ethiopia,2011,2015,11,340,9.0
ethiopia,2011,2015,12,341,5.0
ethiopia,2011,2015,13,342,7.0
ethiopia,2011,2015,14,343,7.0
ethiopia,2011,2015,15,344,9.0
ethiopia,2011,2015,16,345,7.0
ethiopia,2011,2015,17,346,5.0
ethiopia,2011,2015,18,347,8.0
ethiopia,2011,2015,19,348,10.0
ethiopia,2011,2015,20,349,9.0
ethiopia,2011,2015,21,350,10.0
ethiopia,2011,2015,22,351,11.0
ethiopia,2011,2015,23,352,8.0
ethiopia,2011,2015,24,353,11.0
ethiopia,2011,2015,25,354,8.0
ethiopia,2011,2015,26,355,11.0
ethiopia,2011,2015,27,356,8.0
ethiopia,2011,2015,28,357,11.0
ethiopia,2011,2015,29,358,8.0
ethiopia,2011,2015,30,359,11.0
ethiopia,2011,2015,31,360,12.0
ethiopia,2011,2015,32,361,12.0
ethiopia,2011,2015,33,362,8.0
ethiopia,2011,2015,34,363,5.0
ethiopia,2011,2015,35,364,6.0
ethiopia,2011,2015,36,365,5.0
ethiopia,2011,2015,37,366,10.0
ethiopia,2011,2015,38,367,6.0
ethiopia,2011,2015,39,368,9.0
ethiopia,2011,2015,40,369,10.0
ethiopia,2011,2015,41,370,5.0
ethiopia,2011,2015,42,371,9.0
ethiopia,2011,2015,43,372,7.0
ethiopia,2011,2015,44,373,5.0
ethiopia,2011,2015,45,374,10.0
ethiopia,2011,2015,46,375,8.0
ethiopia,2011,2015,47,376,9.0
ethiopia,2011,2015,48,377,5.0
ethiopia,2011,2015,49,378,9.0
ethiopia,2011,2015,50,379,6.0
ethiopia,2011,2015,51,380,4.0
ethiopia,2011,2015,52,381,11.0
ethiopia,2011,2015,53,382,9.0
ethiopia,2011,2015,54,383,8.0
ethiopia,2011,2015,55,384,6.0
ethiopia,2011,2015,56,385,7.0
ethiopia,2011,2015,57,386,9.0
ethiopia,2011,2015,58,387,7.0
ethiopia,2011,2015,59,388,10.0
ethiopia,2011,2015,60,389,11.0
ethiopia,2011,2015,61,390,10.0
ethiopia,2011,2015,62,391,8.0
ethiopia,2011,2015,63,392,9.0
ethiopia,2011,2015,64,393,12.0
ethiopia,2011,2015,65,394,7.0
ethiopia,2011,2015,66,395,9.0
ethiopia,2011,2015,67,396,11.0
ethiopia,2011,2015,68,397,7.0
ethiopia,2011,2015,69,398,9.0
ethiopia,2011,2015,70,399,10.0
ethiopia,2011,2015,71,400,4.0
ethiopia,2011,2015,72,401,5.0
ethiopia,2011,2015,73,402,9.0
ethiopia,2011,2015,74,403,11.0
ethiopia,2011,2015,75,404,9.0
ethiopia,2011,2015,76,405,7.0
ethiopia,2011,2015,77,406,9.0
ethiopia,2011,2015,78,407,11.0
ethiopia,2011,2015,79,408,5.0
ethiopia,2011,2015,80,409,11.0
ethiopia,2011,2015,81,410,10.0
ethiopia,2011,2015,82,411,10.0
ethiopia,2011,2015,83,412,12.0
ethiopia,2011,2015,84,413,9.0
ethiopia,2011,2015,85,414,4.0
ethiopia,2011,2015,86,415,9.0
ethiopia,2011,2015,87,416,9.0
ethiopia,2011,2015,88,417,7.0
ethiopia,2011,2015,89,418,10.0
ethiopia,2011,2015,90,419,6.0
ethiopia,2011,2015,91,420,8.0
ethiopia,2011,2015,92,421,9.0
ethiopia,2011,2015,93,422,9.0
ethiopia,2011,2015,94,423,9.0
ethiopia,2011,2015,95,424,7.0
ethiopia,2011,2015,96,425,8.0
ethiopia,2011,2015,97,426,7.0
ethiopia,2011,2015,98,427,9.0
ethiopia,2011,2015,99,428,9.0
ethiopia,2011,2015,100,429,4.0
ethiopia,2011,2015,101,430,9.0
ethiopia,2011,2015,102,431,8.0
ethiopia,2011,2015,103,432,9.0
ethiopia,2011,2015,104,433,12.0
ethiopia,2011,2015,105,434,8.0
ethiopia,2011,2015,106,435,11.0
ethiopia,2011,2015,107,436,4.0
ethiopia,2011,2015,108,437,6.0
ethiopia,2011,2015,109,438,9.0
ethiopia,2011,2015,110,439,6.0
ethiopia,2011,2015,111,440,9.0
ethiopia,2011,2015,112,441,9.0
ethiopia,2011,2015,113,442,5.0
ethiopia,2011,2015,114,443,12.0
ethiopia,2011,2015,115,444,5.0
ethiopia,2011,2015,116,445,9.0
ethiopia,2011,2015,117,446,10.0
ethiopia,2011,2015,118,447,10.0
ethiopia,2011,2015,119,448,10.0
ethiopia,2011,2015,120,449,9.0
ethiopia,2011,2015,121,450,11.0
ethiopia,2011,2015,122,451,6.0
ethiopia,2011,2015,123,452,9.0
ethiopia,2011,2015,124,453,8.0
ethiopia,2011,2015,125,454,11.0
ethiopia,2011,2015,126,455,9.0
ethiopia,2011,2015,127,456,10.0
ethiopia,2011,2015,128,457,8.0
ethiopia,2011,2015,129,458,8.0
ethiopia,2011,2015,130,459,10.0
ethiopia,2011,2015,131,460,6.0
ethiopia,2011,2015,132,461,6.0
ethiopia,2011,2015,133,463,6.0
ethiopia,2011,2015,134,464,11.0
ethiopia,2011,2015,135,465,10.0
ethiopia,2011,2015,136,466,9.0
ethiopia,2011,2015,137,467,6.0
ethiopia,2011,2015,138,468,9.0
ethiopia,2011,2015,139,469,7.0
ethiopia,2011,2015,140,470,5.0
ethiopia,2011,2015,141,471,11.0
ethiopia,2011,2015,142,472,9.0
ethiopia,2011,2015,143,473,11.0
ethiopia,2011,2015,144,474,8.0
ethiopia,2011,2015,145,475,8.0
