"country","year","lat","lon","ea_id.x","index","rooms","electric","phone","radio","tv","auto","floor_qual","toilet_qual","watsup_qual","total_cons_ann","ea_id.y","n"
"et",2011,10.0165864149,38.2492265926,4060100102,0.0124579622365408,2.16666666666667,1,0.333333333333333,0.5,0.5,0,1,2.33333333333333,4.66666666666667,6184.39444444445,4060100102,6
"et",2011,10.0245110384,39.2131652933,3050400305,-1.13030825400609,1,0,0,0.375,0,0,1,1.625,3,2236.33949686686,3050400305,8
"et",2011,10.081237992,34.6831901825,6030304202,-0.889158021479109,2,0,0,0.75,0,0,1.08333333333333,1.91666666666667,3.08333333333333,NA,6030304202,12
"et",2011,10.1249269842,39.6713085476,3050900104,0.00950213936355561,3.55555555555556,1,0.333333333333333,0.555555555555556,0.333333333333333,0,1,2,4.66666666666667,7027.27224392361,3050900104,9
"et",2011,10.1255685035,39.3173063282,3052100808,-1.19217840532571,1.66666666666667,0,0,0,0,0,1.33333333333333,1.11111111111111,3,2323.31081921882,3052100808,9
"et",2011,10.1771510236,38.9727796823,3050101504,-0.793750048114622,1.25,0,0.25,0.5,0.25,0,1,1.75,3.25,2688.75149972098,3050101504,4
"et",2011,10.4180717415,38.1697121297,3060602103,-0.601799449212949,2.55555555555556,0.888888888888889,0,0.555555555555556,0,0,1,1.22222222222222,3.11111111111111,3328.36711968316,3060602103,9
"et",2011,10.4216173585,37.5765488785,3060901807,-0.754122735811278,2.4,0.3,0,0.1,0.2,0,1.3,2,2.9,4820.74142950149,3060901807,10
"et",2011,10.4376029071,38.3184384011,3061400105,-0.374645308421905,1.75,1,0,0.625,0.125,0,1,2.25,4.25,NA,3061400105,8
"et",2011,10.4624101433,42.2434955736,5010200101,-0.771315775202031,1.88888888888889,0.111111111111111,0.111111111111111,0.555555555555556,0.111111111111111,0,1,2,4,5103.21654885913,5010200101,9
"et",2011,10.4822087828,34.7861778123,6030100301,-0.785138642383437,1.27272727272727,0.0909090909090909,0.0909090909090909,0.818181818181818,0.181818181818182,0,1,1.63636363636364,3.54545454545455,6227.21919191919,6030100301,11
"et",2011,10.4981528016,42.594943322,5010100902,-1.23045443672613,1,0,0,0,0,0,1,1.5,4,5572.15497698103,5010100902,6
