"system.index","LONGNUM","cluster_id","num_l5","num_l7","num_l8","num_modis","num_s1","num_s2",".geo","year"
410,-3.11285052,"ML2006_143",0,18,0,40,0,0,"{""type"":""Point"",""coordinates"":[-3.1128505,16.6016977]}",2000
36,-1.34641258,"ML2006_128",0,9,0,40,0,0,"{""type"":""Point"",""coordinates"":[-1.3464126,16.3578571]}",2000
397,-1.465167,"BF2014_82",0,12,0,40,0,0,"{""type"":""Point"",""coordinates"":[-1.465167,13.563943]}",2000
24,-0.920185,"BF2014_224",0,12,0,40,0,0,"{""type"":""Point"",""coordinates"":[-0.920185,14.269918]}",2000
398,-0.391794466117,"BF1998_160",0,12,0,40,0,0,"{""type"":""Point"",""coordinates"":[-0.3917945,13.1839247]}",2000
104,-1.064123,"BF2010_176",0,12,0,40,0,0,"{""type"":""Point"",""coordinates"":[-1.064123,13.098312]}",2000
328,-1.109934,"BF2014_206",0,12,0,40,0,0,"{""type"":""Point"",""coordinates"":[-1.109934,12.357231]}",2000
385,-0.576115567899,"BF1998_71",0,21,0,40,0,0,"{""type"":""Point"",""coordinates"":[-0.5761156,12.2780328]}",2000
500,-0.862065,"BF2010_14",0,17,0,40,0,0,"{""type"":""Point"",""coordinates"":[-0.862065,11.003476]}",2000
430,-1.089189,"GH2014_318",0,17,0,40,0,0,"{""type"":""Point"",""coordinates"":[-1.089189,10.900289]}",2000
492,-1.205698,"BF2010_273",0,17,0,40,0,0,"{""type"":""Point"",""coordinates"":[-1.205698,11.536316]}",2000
74,-1.71909510031,"BF1998_19",0,12,0,40,0,0,"{""type"":""Point"",""coordinates"":[-1.7190951,12.4233211]}",2000
195,-1.344461,"BF2014_93",0,12,0,40,0,0,"{""type"":""Point"",""coordinates"":[-1.344461,13.093998]}",2000
311,-3.430294,"ML2012_243",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-3.430294,13.509699]}",2000
213,-2.882381,"GH2016_199",0,20,0,40,0,0,"{""type"":""Point"",""coordinates"":[-2.882381,10.640043]}",2000
371,-4.051348,"BF2010_387",0,15,0,40,0,0,"{""type"":""Point"",""coordinates"":[-4.051348,11.867146]}",2000
115,-4.306393,"BF2014_16",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-4.306393,11.755858]}",2000
156,-5.026302,"BF2014_170",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-5.026302,11.533419]}",2000
382,-4.45731877007,"BF1998_65",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-4.4573188,11.319183]}",2000
270,-3.872171,"BF2010_358",0,18,0,40,0,0,"{""type"":""Point"",""coordinates"":[-3.872171,12.725299]}",2000
198,-4.12025462,"ML2006_305",0,5,0,40,0,0,"{""type"":""Point"",""coordinates"":[-4.1202546,15.5514267]}",2000
224,-7.77998017,"ML2006_27",0,15,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.7799802,13.6575196]}",2000
197,-6.72729,"ML2015_94",0,21,0,40,0,0,"{""type"":""Point"",""coordinates"":[-6.72729,13.57081]}",2000
383,-6.098539,"ML2012_352",0,11,0,40,0,0,"{""type"":""Point"",""coordinates"":[-6.098539,13.90301]}",2000
416,-5.321912,"ML1995_163",0,14,0,40,0,0,"{""type"":""Point"",""coordinates"":[-5.321912,14.00549]}",2000
431,-5.288793,"ML2012_49",0,29,0,40,0,0,"{""type"":""Point"",""coordinates"":[-5.288793,13.569082]}",2000
59,-7.414017,"ML2012_30",0,22,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.414017,10.649234]}",2000
96,-7.476488,"ML2012_151",0,7,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.476488,11.442461]}",2000
463,-8.076229,"ML1995_47",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-8.076229,12.758467]}",2000
261,-8.00532726,"ML2006_302",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-8.0053273,12.6056416]}",2000
317,-8.031674,"ML1995_281",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-8.031674,12.636183]}",2000
315,-8.0417,"ML2015_163",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-8.0417,12.625701]}",2000
13,-7.961169,"ML2012_506",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.961169,12.667974]}",2000
453,-7.971471,"ML1995_297",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.971471,12.618959]}",2000
259,-7.98779886,"ML2006_103",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.9877989,12.5574859]}",2000
308,-7.921712,"ML2015_179",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.921712,12.524674]}",2000
360,-7.881916,"ML2012_487",0,8,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.881916,12.682375]}",2000
82,-9.335706,"GN2012_16",0,7,0,40,0,0,"{""type"":""Point"",""coordinates"":[-9.335706,11.592075]}",2000
99,-9.50153,"ML2012_310",0,5,0,40,0,0,"{""type"":""Point"",""coordinates"":[-9.50153,14.189617]}",2000
294,-8.640342,"ML2012_336",0,5,0,40,0,0,"{""type"":""Point"",""coordinates"":[-8.640342,14.518869]}",2000
201,-13.970019,"SN2010_153",0,16,0,40,0,0,"{""type"":""Point"",""coordinates"":[-13.970019,16.154526]}",2000
441,-15.505856,"SN2008_212",0,20,0,40,0,0,"{""type"":""Point"",""coordinates"":[-15.505856,16.514597]}",2000
333,-16.836199,"SN2008_282",0,9,0,40,0,0,"{""type"":""Point"",""coordinates"":[-16.836199,14.255338]}",2000
489,-15.545484,"SN2008_142",0,6,0,40,0,0,"{""type"":""Point"",""coordinates"":[-15.545484,12.616036]}",2000
174,-15.991044,"SN2010_271",0,6,0,40,0,0,"{""type"":""Point"",""coordinates"":[-15.991044,12.958425]}",2000
190,-15.893775741,"SN2012_76",0,12,0,40,0,0,"{""type"":""Point"",""coordinates"":[-15.8937757,13.7283911]}",2000
228,-15.124461,"SN2010_277",0,6,0,40,0,0,"{""type"":""Point"",""coordinates"":[-15.124461,13.519902]}",2000
498,-15.474638507,"SN2012_57",0,6,0,40,0,0,"{""type"":""Point"",""coordinates"":[-15.4746385,13.9505648]}",2000
266,-16.073289,"SN2008_104",0,15,0,40,0,0,"{""type"":""Point"",""coordinates"":[-16.073289,14.151988]}",2000
415,-16.22643,"SN2008_62",0,9,0,40,0,0,"{""type"":""Point"",""coordinates"":[-16.22643,13.910567]}",2000
124,-15.890610618,"SN2012_31",0,15,0,40,0,0,"{""type"":""Point"",""coordinates"":[-15.8906106,14.8630727]}",2000
89,-16.267639,"SN2010_196",0,7,0,40,0,0,"{""type"":""Point"",""coordinates"":[-16.267639,15.794883]}",2000
181,-13.682354,"SN2008_276",0,22,0,40,0,0,"{""type"":""Point"",""coordinates"":[-13.682354,13.77045]}",2000
470,-10.767665,"ML1995_40",0,6,0,40,0,0,"{""type"":""Point"",""coordinates"":[-10.767665,15.0764]}",2000
380,-11.45035,"ML2012_538",0,5,0,40,0,0,"{""type"":""Point"",""coordinates"":[-11.45035,14.436166]}",2000
80,-13.49135172,"GN1999_2203",0,9,0,40,0,0,"{""type"":""Point"",""coordinates"":[-13.4913517,12.4099411]}",2000
105,-12.70430924,"GN1999_2210",0,4,0,40,0,0,"{""type"":""Point"",""coordinates"":[-12.7043092,11.9716894]}",2000
207,-12.29185028,"GN1999_2103",0,4,0,40,0,0,"{""type"":""Point"",""coordinates"":[-12.2918503,11.3138011]}",2000
14,-12.431826,"GN2012_143",0,4,0,40,0,0,"{""type"":""Point"",""coordinates"":[-12.431826,10.943312]}",2000
45,-12.18437305,"GN1999_2250",0,11,0,40,0,0,"{""type"":""Point"",""coordinates"":[-12.184373,10.7592451]}",2000
301,-11.93193261,"GN1999_2249",0,4,0,40,0,0,"{""type"":""Point"",""coordinates"":[-11.9319326,10.8063547]}",2000
215,-10.72056164,"GN1999_3208",0,5,0,40,0,0,"{""type"":""Point"",""coordinates"":[-10.7205616,11.6971419]}",2000
497,-11.03518337,"GN1999_3213",0,9,0,40,0,0,"{""type"":""Point"",""coordinates"":[-11.0351834,10.9148393]}",2000
472,-11.545935,"SL2013_410",0,4,0,40,0,0,"{""type"":""Point"",""coordinates"":[-11.545935,9.585055]}",2000
2,-11.875987,"SL2013_328",0,4,0,40,0,0,"{""type"":""Point"",""coordinates"":[-11.875987,9.844865]}",2000
466,-12.359213,"SL2013_224",0,6,0,40,0,0,"{""type"":""Point"",""coordinates"":[-12.359213,9.129764]}",2000
293,-12.74306,"SL2008_333",0,3,0,40,0,0,"{""type"":""Point"",""coordinates"":[-12.74306,8.75593]}",2000
15,-12.726261,"SL2013_80",0,3,0,40,0,0,"{""type"":""Point"",""coordinates"":[-12.726261,8.830944]}",2000
361,-13.05169,"SL2008_329",0,3,0,40,0,0,"{""type"":""Point"",""coordinates"":[-13.05169,8.35238]}",2000
145,-12.362747,"SL2013_368",0,1,0,40,0,0,"{""type"":""Point"",""coordinates"":[-12.362747,7.861057]}",2000
253,-11.40677,"SL2008_12",0,1,0,40,0,0,"{""type"":""Point"",""coordinates"":[-11.40677,7.75724]}",2000
256,-11.71092,"SL2013_360",0,3,0,40,0,0,"{""type"":""Point"",""coordinates"":[-11.71092,8.858152]}",2000
392,-11.28759,"SL2008_207",0,3,0,40,0,0,"{""type"":""Point"",""coordinates"":[-11.28759,8.1329]}",2000
12,-12.460452,"SL2013_8",0,1,0,40,0,0,"{""type"":""Point"",""coordinates"":[-12.460452,7.536833]}",2000
283,-13.927731,"GN2012_295",0,6,0,40,0,0,"{""type"":""Point"",""coordinates"":[-13.927731,10.133877]}",2000
149,-7.361569,"CI2012_159",0,3,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.361569,4.4123]}",2000
8,-9.45700787,"GN1999_4108",0,6,0,40,0,0,"{""type"":""Point"",""coordinates"":[-9.4570079,8.5538641]}",2000
41,-10.30026,"SL2008_132",0,2,0,40,0,0,"{""type"":""Point"",""coordinates"":[-10.30026,8.36924]}",2000
97,-10.39138,"SL2008_3",0,2,0,40,0,0,"{""type"":""Point"",""coordinates"":[-10.39138,8.4034]}",2000
154,-9.30378903,"GN1999_3107",0,4,0,40,0,0,"{""type"":""Point"",""coordinates"":[-9.303789,10.3758077]}",2000
426,-5.83636,"CI1998_242",0,5,0,40,0,0,"{""type"":""Point"",""coordinates"":[-5.83636,8.610527]}",2000
414,-7.54746,"CI2012_28",0,2,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.54746,7.670873]}",2000
341,-7.486864,"CI2012_40",0,3,0,40,0,0,"{""type"":""Point"",""coordinates"":[-7.486864,6.544823]}",2000
473,-6.171599,"CI2012_289",0,0,0,40,0,0,"{""type"":""Point"",""coordinates"":[-6.171599,6.222643]}",2000
76,-5.955541,"CI1998_89",0,0,0,40,0,0,"{""type"":""Point"",""coordinates"":[-5.955541,6.131916]}",2000
320,-4.078818,"CI1998_47",0,3,0,40,0,0,"{""type"":""Point"",""coordinates"":[-4.078818,5.316525]}",2000
