"year","count_PlanetScope","count_RapidEye","cluster_id"
2017,414,10,"TZ2007_451"
2017,496,4,"ET2005_393"
2017,465,29,"LS2009_9"
2017,314,6,"MW2010_799"
2017,264,2,"AO2015_87"
2017,339,14,"AO2015_459"
2017,256,4,"ET2005_134"
2017,434,13,"ZW2005_352"
2017,342,7,"KE2014_1085"
2017,386,19,"ZM2013_108"
2017,529,33,"ZW2010_378"
2017,288,3,"KE2014_407"
2017,311,9,"UG2014_156"
2017,349,19,"KE2014_500"
2017,392,13,"ZW2010_274"
2017,265,13,"CD2007_32"
2017,434,3,"ZW2010_83"
2017,355,14,"ZM2007_26"
2017,354,10,"ZM2013_390"
2017,366,16,"ZM2007_172"
2017,552,36,"ZW2015_37"
2017,350,14,"MW2015_304"
2017,362,17,"KE2014_712"
2017,375,12,"TZ2011_335"
2017,285,8,"ML2006_305"
2017,262,8,"TZ2004_48"
2017,287,0,"ET2005_156"
2017,271,54,"MW2010_665"
2017,580,33,"ZW2015_147"
2017,282,14,"MZ2011_323"
2017,370,19,"ML2006_27"
2017,552,40,"MW2015_678"
2017,411,7,"TZ2007_183"
2017,255,17,"LS2014_220"
2017,282,8,"KE2003_1"
2017,331,6,"KE2014_824"
2017,319,17,"ML2006_302"
2017,369,28,"UG2011a_422"
2017,486,6,"ET2010_173"
2017,260,10,"BF2010_358"
2017,382,8,"TZ2004_115"
2017,290,23,"KE2014_1570"
2017,580,13,"KE2008_348"
2017,275,4,"ET2016_353"
2017,276,9,"ML2012_243"
2017,319,2,"ZM2007_99"
2017,346,2,"ET2010_567"
2017,328,14,"TG2013_269"
2017,335,4,"BF2014_206"
2017,420,5,"ZW2010_127"
2017,420,19,"TZ2007_432"
2017,281,4,"ET2010_451"
2017,311,2,"UG2011a_98"
2017,594,13,"ET2016_22"
2017,346,13,"KE2014_1159"
2017,309,40,"MW2015_317"
2017,286,46,"MW2015_41"
2017,404,10,"ET2005_425"
2017,323,4,"UG2011_378"
2017,453,31,"LS2009_388"
2017,467,7,"TZ2007_44"
2017,257,16,"LS2014_149"
2017,299,15,"ML2012_487"
2017,438,14,"ZW2010_161"
2017,315,2,"MZ2011_55"
2017,407,10,"ZW2005_955"
2017,410,21,"LS2014_242"
2017,445,3,"ZW2010_384"
2017,336,27,"ML2012_538"
2017,442,79,"ML2012_352"
2017,284,20,"BF1998_71"
2017,383,15,"ZM2013_51"
2017,284,3,"BF2014_82"
2017,352,6,"ZM2013_647"
2017,339,10,"NG2003_146"
2017,342,14,"KE2014_929"
2017,505,4,"ET2005_304"
2017,246,10,"RW2010_26"
2017,505,3,"MZ2011_153"
2017,453,15,"TZ2010_230"
2017,603,31,"ZW2010_399"
2017,323,12,"UG2009_133"
2017,363,15,"TG2013_28"
2017,250,36,"SN2008_212"
2017,518,23,"MW2010_524"
2017,268,4,"NG2013_256"
2017,254,4,"GH1998_83"
2017,381,20,"ZW2015_190"
2017,268,23,"MW2010_157"
2017,258,5,"MZ2009_151"
2017,380,15,"ZW2005_890"
2017,279,8,"KE2003_283"
2017,274,36,"MW2014_135"
2017,312,4,"NG2013_420"
2017,630,12,"LS2014_107"
2017,269,4,"SL2013_224"
2017,318,17,"ML1995_40"
2017,370,20,"KE2003_186"
2017,384,16,"ZW2010_58"
2017,391,8,"ZM2013_447"
2017,374,8,"AO2015_298"
2017,301,21,"MW2010_138"
2017,254,10,"RW2014_224"
2017,358,18,"ZM2007_255"
2017,255,24,"MZ2009_26"
2017,285,4,"ML2012_30"
2017,277,5,"UG2011a_387"
2017,458,4,"UG2009_22"
2017,303,2,"UG2014_89"
2017,366,32,"SZ2006_29"
2017,427,22,"LS2014_180"
2017,256,14,"RW2010_38"
2017,331,42,"MW2015_336"
2017,314,16,"UG2011_518"
2017,609,11,"LS2014_27"
2017,579,47,"NG2010_84"
2017,264,1,"ML2012_151"
2017,412,4,"TZ2007_278"
2018,523,4,"TZ2007_451"
2018,669,0,"ET2005_393"
2018,263,0,"ZW2005_1187"
2018,286,6,"GH2016_157"
2018,584,29,"LS2009_9"
2018,258,5,"ML2012_506"
2018,265,2,"TG2013_143"
2018,320,0,"BF2014_16"
2018,327,6,"MW2010_799"
2018,367,0,"AO2015_207"
2018,395,10,"SN2012_31"
2018,366,0,"AO2015_87"
2018,548,0,"AO2015_459"
2018,313,6,"CD2007_35"
2018,569,2,"ZW2005_352"
2018,388,0,"KE2014_1085"
2018,457,2,"ZM2013_108"
2018,290,0,"UG2011_271"
2018,725,6,"ZW2010_378"
2018,252,2,"KE2014_407"
2018,339,0,"UG2014_156"
2018,336,6,"KE2014_500"
2018,515,2,"ZW2010_274"
2018,306,3,"CD2007_32"
2018,591,4,"ZW2010_83"
2018,427,4,"ZM2007_26"
2018,354,10,"ZM2013_390"
2018,389,8,"SN2008_276"
2018,314,10,"ZM2007_172"
2018,255,5,"GH2008_163"
2018,744,22,"ZW2015_37"
2018,319,7,"MW2015_304"
2018,310,7,"KE2014_712"
2018,349,8,"SN2012_76"
2018,424,2,"TZ2011_335"
2018,396,11,"ML2006_305"
2018,380,0,"TZ2004_48"
2018,306,0,"ET2005_156"
2018,270,7,"MW2010_665"
2018,375,4,"GH2016_199"
2018,848,4,"ZW2015_147"
2018,401,4,"GN1999_3208"
2018,303,16,"MZ2011_323"
2018,354,2,"AO2011_19"
2018,508,12,"ML2006_27"
2018,264,4,"ZM2013_680"
2018,262,2,"ZW2010_63"
2018,455,11,"MW2015_678"
2018,489,6,"TZ2007_183"
2018,416,20,"AO2011_4"
2018,294,16,"LS2014_220"
2018,285,0,"KE2003_1"
2018,338,0,"KE2014_824"
2018,269,4,"ML2006_103"
2018,518,10,"ML2006_302"
2018,544,0,"UG2011a_422"
2018,569,3,"ET2010_173"
