country,eighties,nineties,aughts,tens,twenties
Algeria,,,2001,,
Afghanistan,1982,,2003,,2020
Albania,,1995,1998,2012,2022
American Samoa,1980,1990,2003,2008,
Andorra,,,,,
Angola,,,,,2017
Antigua and Barbuda,1984,,,2007,2022
Argentina,,1988,2002,2008,2018
Armenia,,,,2014,2024
Australia,1981,1990,2001,2011,2016
Austria,1980,1990,2000,2010,2020
Azerbaijan,,,2005,2015,2025
Bahamas,1978,1994,,,
Bahrain,1980,,,2010,
Bangladesh,1984,1996,2005,2008,2018
Barbados,,1989,,,
Belarus,,,,,2019
Belgium,1979,1990,2000,2010,2020
Belize,1985,,,2011,2020
Benin,,1992,,,2017
Bhutan,,,2000,2009,2018
Bolivia,,1988,,2013,
Bosnia and Herzegovina,,,,,
Botswana,1982,1993,2004,2015,
Brazil,1985,,1996,2006,2018
Brunei Darussalam,,,,,
Bulgaria,,,,2010,2020
Burkina Faso,,1993,,2010,2017
Burundi,,,,,2022
Cabo Verde,1981,1988,2004,2015,2025
Cambodia,,,,2013,2023
Cameroon,1984,,,,2019
Canada,1981,1991,2001,2011,
Central African Republic,1985,,,,
Chad,,,,,2018
Chile,1976,,1997,2007,2019
China,,,1997,2006,2016
Colombia,1970,1988,2001,2013,
Comoros,,,2004,,2017
Democratic Republic of the Congo,,1990,,,
Republic of the Congo,1986,,,2015,2017
Cook Islands,,1988,2000,2011,2022
Costa Rica,1983,,,2014,
Cote d'Ivoire,,,2001,2014,2026
Croatia,,,2003,2010,2020
Cyprus,1985,1994,2003,2010,2020
Czech Republic,1980,1990,2000,2010,2020
Denmark,1979,1989,2000,2010,2020
Djibouti,,1995,,,2017
Dominica,,1995,,,
Dominican Republic,1981,,,,2018
Ecuador,,,2000,,
Egypt,1982,1990,2000,2010,2020
El Salvador,,,,2012,
Equatorial Guinea,,,,2015,2025
Eritrea,,,,,
Estonia,,,2001,2010,2020
Ethiopia,1977,1992,2002,,2020
Fiji,1979,1991,,2009,2019
Finland,1980,1990,2000,2010,2020
France,1979,1988,2000,2010,2020
French Guiana,1981,1989,2000,2010,
French Polynesia,,1995,,,
Gabon,1982,,,,2017
Georgia,,,2004,2014,2024
Germany,1979,1995,2000,2010,2020
Ghana,,,,,2018
Greece,1981,1995,2000,2009,2020
Grenada,1981,1995,,2012,2022
Guadeloupe,1981,1989,2000,2010,
Guam,1982,1992,2002,2007,2019
Guatemala,1979,,2003,,
Guinea,,1995,2001,,2017
Guinea-Bissau,,1988,,,2017
Guyana,,,,,2018
Haiti,1981,,,2008,
Honduras,1980,1993,,,2018
Hungary,1981,,2000,2010,2020
Iceland,,,,2010,2020
India,1981,1991,2001,2011,2016
Indonesia,1983,1993,2003,2013,2023
Iran,,1993,2003,2015,2024
Iraq,1981,,,,2020
Ireland,1980,1991,2000,2010,2020
Israel,1981,,,,2018
Italy,1982,1990,2000,2010,2020
Jamaica,1979,,1996,2007,
Japan,1980,1995,2000,2010,
Jordan,1983,,1997,2007,2017
Kazakhstan,,,,2007,
Kenya,1979,,,,2019
Kiribati,,,,,
North Korea,,,,,
South Korea,1980,1990,2000,2010,2020
Kosovo,,,,,
Kuwait,,,,,2016
