country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,0,0,0,0,0,0,2973,0,0,0,0,8589,0,0,0,20063,0
Benin,0,8928,0,0,0,0,23115,0,0,0,0,21779,0,0,0,0,0
Burkina Faso,0,0,0,16082,0,0,0,0,0,0,24394,0,0,0,8111,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,13669,0,5149,0,0,0,24821
Cameroon,0,0,0,0,15936,0,0,0,0,0,0,22617,0,0,0,0,0
Cape Verde,0,0,0,0,0,8149,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,7972,0,0,0,0,0,0,0,0,0,22967,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,7496,0,0,0,0
Congo,0,0,0,0,0,10197,0,0,0,12413,0,15964,0,0,0,0,0
Congo Democratic Republic,0,0,0,0,0,0,0,14752,0,0,0,0,0,27483,0,0,0
Cote d'Ivoire,0,0,0,0,0,9686,0,0,0,0,0,15195,0,0,0,0,0
Egypt,15573,0,0,9159,0,19474,0,0,16527,0,0,0,0,0,21762,16671,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,5400,0,0,0,0,0
Eritrea,0,0,8754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,0,0,0,0,0,9143,0,0,0,0,0,0,0,0,0,0
Ethiopia,17974,0,0,0,0,20103,0,0,0,0,0,30625,0,0,0,0,28371
Gabon,8187,0,0,0,0,0,0,0,0,0,0,0,14076,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,14054,0,0,0
Ghana,0,0,0,10706,0,0,8149,10370,9484,0,0,13948,0,0,13784,0,5150
Guinea,0,0,0,0,0,11128,0,0,0,0,0,0,12924,0,0,0,0
Kenya,0,0,0,11773,0,0,0,0,11909,0,5749,0,0,0,43898,5394,0
Lesotho,0,0,0,0,9892,0,0,0,0,10941,0,0,0,0,9552,0,0
Liberia,0,0,0,0,0,0,0,13101,0,4397,0,3939,0,13357,0,0,4290
Madagascar,0,0,0,10381,0,0,0,0,25961,0,0,8169,0,8045,0,0,10655
Malawi,16312,0,0,0,14959,0,0,0,0,0,30195,0,2906,0,2897,32040,0
Mali,0,16254,0,0,0,0,18790,0,0,0,0,0,14823,0,0,7758,0
Mauritania,9919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,16798,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,15318,0,0,0,0,0,11212,0,17780,0,0,0,13032,0
Namibia,9709,0,0,0,0,0,13719,0,0,0,0,0,0,13657,0,0,0
Niger,0,0,0,0,0,0,12772,0,0,0,0,0,15088,0,0,0,0
Nigeria,0,0,0,9966,0,0,0,0,48871,0,6344,0,0,56307,0,8034,0
Rwanda,13138,0,0,0,0,16141,0,14150,0,0,20000,4669,0,5135,19714,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,4911,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,18363,6655,0,19441,0,20617,0,8636,0,11859,12585,12392
Sierra Leone,0,0,0,0,0,0,0,0,10654,0,0,0,0,30723,0,0,8501
South Africa,0,0,0,10519,0,0,0,0,0,0,0,0,0,0,0,0,12132
Tanzania,0,0,0,12522,12964,0,0,16318,0,0,12666,19319,0,0,0,16780,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,13956,0,0,0
Uganda,9208,0,0,0,19656,0,11034,0,0,4134,0,32710,0,0,5322,0,23842
Zambia,0,9803,0,0,0,0,0,13646,0,0,0,0,0,31184,0,0,0
Zimbabwe,0,0,0,0,0,16082,0,0,0,0,16651,0,0,0,0,18351,0
