country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20063,0,0,0
Benin,0,8928,0,0,0,0,23115,0,0,0,0,21779,0,0,0,0,0,23523,0
Burkina Faso,0,0,0,16082,0,0,0,0,0,0,24394,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,13669,0,0,0,0,0,24821,0,0
Cameroon,0,0,0,0,15936,0,0,0,0,0,0,22617,0,0,0,0,0,0,20800
Cabo Verde,0,0,0,0,0,8149,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,7972,0,0,0,0,0,0,0,0,0,22967,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,7496,0,0,0,0,0,0
Republic of the Congo,0,0,0,0,0,10197,0,0,0,0,0,15964,0,0,0,0,0,0,0
Democratic Republic of the Congo,0,0,0,10706,0,0,0,10370,9484,0,0,0,0,0,13784,0,0,25062,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,15195,0,0,0,0,0,0,0
Dominican Republic,0,0,26217,0,0,0,0,55170,0,0,0,0,0,19678,0,0,0,0,0
Egypt,15573,0,0,9159,0,19474,0,0,16527,0,0,0,0,0,21762,16671,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,5400,0,0,0,0,0,0,0
Eritrea,0,0,8754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,9143,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,17974,0,0,0,0,20103,0,0,0,0,0,30625,0,0,0,0,28371,0,0
Ghana,0,0,0,10706,0,0,0,10370,9484,0,0,0,0,0,13784,0,0,25062,0
Gabon,8187,0,0,0,0,0,0,0,0,0,0,0,14076,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,14054,0,0,0,0,0
Guinea,0,0,0,0,0,11128,0,0,0,0,0,0,12924,0,0,0,0,0,13000
Guyana,0,0,0,0,0,0,0,0,0,8518,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,11773,0,0,0,0,11909,0,0,0,0,0,43898,0,0,0,0
Lesotho,0,0,0,0,9892,0,0,0,0,10941,0,0,0,0,9552,0,0,0,0
Liberia,0,0,0,0,0,0,0,13101,0,0,0,0,0,13357,0,0,0,0,0
Madagascar,0,0,0,10381,0,0,0,0,25961,0,0,0,0,0,0,0,0,0,0
Malawi,16312,0,0,0,14959,0,0,0,0,0,30195,0,0,0,0,32040,0,0,0
Maldives,0,0,0,0,0,0,0,0,0,8858,0,0,0,0,0,0,12041,0,0
Mali,0,16254,0,0,0,0,18790,0,0,0,0,0,14823,0,0,0,0,0,15137
Mauritania,9919,0,0,5211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,16798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,15318,0,0,0,0,0,0,0,17780,0,0,0,0,0,0,0
Namibia,9709,0,0,0,0,0,13719,0,0,0,0,0,0,13657,0,0,0,0,0
Niger,0,0,0,0,0,0,12772,0,0,0,0,0,15088,0,0,0,0,17500,0
Nigeria,0,0,0,9966,0,0,0,0,48871,0,0,0,0,56307,0,0,0,0,55132
Rwanda,13138,0,0,0,0,16141,0,14150,0,0,20000,4669,0,0,19714,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,4911,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,18363,0,0,0,0,20617,0,8636,0,11859,12585,12392,23764,13178
Sierra Leone,0,0,0,0,0,0,0,0,10654,0,0,0,0,23920,0,0,0,0,0
South Africa,0,0,0,10519,0,0,0,0,0,0,0,0,0,0,0,0,12132,0,0
Tanzania,0,0,0,0,12964,0,0,0,0,0,12666,0,0,0,0,16780,0,0,0
Timor-Leste,0,0,0,0,0,0,0,0,0,17213,0,0,0,0,0,0,17229,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,13956,0,0,0,0,0
Uganda,9208,0,0,0,0,0,11034,0,0,0,0,10969,0,0,0,0,23842,0,0
Zambia,0,9803,0,0,0,0,0,13646,0,0,0,0,0,31184,0,0,0,0,25815
Zimbabwe,0,0,0,0,0,16082,0,0,0,0,16651,0,0,0,0,18351,0,0,0
