country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,,,29550,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,10100,,,,,,,,9002,,,,,,,,,,
Benin,,,,,,,,,,,5350,,,,,,,,17974,,,,99600,,,
Botswana,18040,,,,,,,,,6047,,,,,,,7731,,,,,,,,,
Burkina Faso,,8628,,,,8478,,,,,8237,,,,,,8404,,,,,10411,,,,
Burundi,,,,,,42500,,,,,,,,7024,,,,,,,33405,,,,,
Cabo Verde,,,,,,,,,4584,,,,,,6924,,,,,,,,,,,
Cameroon,,,,1728,,,,,10992,,,,,,11391,,,,,,,10303,,,,
Central African Republic,37500,,,,,,,,,,15100,,,,,6897,,,,,,,,,,
Chad,,,,,,,,,,,6695,,,,,,,,9259,,,,,,,
Comoros,,,,,,,,,,,,2987,,,,,,,,,,15655,,,,
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of the Congo,,,,,,,,,,,,,10395,,,,,,10395,,,,,,,
Cote d'Ivoire,,,1000,,,4200,,,,10798,,,,,,12600,,,,,,,12899,,,
Djibouti,,,,,,,,,,5879,,,,,,,,,,5879,3416,,,,,
Egypt,,,75450,,,,240000,,,,,235475,,,,117140,,36355,,75285,,,59940,,,
Swaziland,,31230,,,,,,3666,,,,,,,,,3167,,,,,,,,,
Ethiopia,,,59640,,,,16672,,,,,21299,,,,,,27829,,,,,125098,,,
Gabon,,,,,,,,,,,,,7912,,,,,,,,,,,,7915,
Gambia,,,,,,1862,,,,,24000,,,,,,,23100,,,,,13189,,,
Ghana,,,,,,5998,,,,,,,8687,,,,,,,16722,,,,,,
Guinea-Bissau,16500,,,,,,,,,3216,,,,,,,,3178,,,,,,,,
Guinea,,4416,,,,,,,,7095,,,,,7552,,,,,7501,,,,,,
Kenya,,10857,,,10874,,,,,,,,13148,,,,,,,,,,10857,,,
Lesotho,,24250,,,,,,,,5992,,,,,,,,4330,,,,,,,,
Liberia,,,,,,,,,,,,,,,3595,,,,,,,4085,,,,
Madagascar,4501,,,,6347,,5120,,5080,,,,11781,,,,,12460,,16920,,,,,,
Malawi,,,,,10698,,,,,,,11280,,,,,,12082,,,,,,,,
Mali,,48500,,,,,,,4966,,,,,4494,,,9036,,,,,,,,,
Mauritania,29300,,3413,,,,,5862,,,,9385,,,,13676,,,,,,9341,,,,
Mauritius,,,,,,,,,,,,,,6720,,,,,,6700,,,,,,
Morocco,,,,,,25920,,72500,,,,,,35310,,,,,,,79850,,,,,
Mozambique,,,,8250,,,,,,8700,,,,,,10832,,,,,,163571,,,,
Namibia,21985,,,,,,,,,,9766,,,,,,9656,,,,,,10090,,,
Niger,,22040,,,,,,,,,,,6690,,4000,,,,3859,,,3629,,,,
Nigeria,,,,60000,,,,,,,18930,,,,,,33775,,,,,,,,,
Rwanda,,,,,,,,6420,,,,,6900,,,,,14308,,,14419,,,,,
Sao Tome and Principe,,,,,,,,2310,,,,,,,,,,3128,,,,,,,,
Senegal,,16385,,,,,,,6565,,,,13568,,,,,,5953,,,,,,,
Seychelles,,,,,,,4065,1164,,,,,,,,,,,,,1886,,,,,
Sierra Leone,,,,,,,,,,,3714,,,,,,,,6727,,,,,,,
South Africa,7790,,,14355,,,,150000,,,,,21144,,,150000,,25328,,,,88906,,,,
South Sudan,,,,,,,,,,,,,,,,,4967,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,7913,,,,,,,,,
Tanzania,,,,,,,,22176,,,,,,,10464,,,,10186,,,,,,,
Togo,,,,,,,,,,,,,,7472,,,,,5491,,,,2335,,,
Uganda,,,,148725,,,52980,,,9710,,,7421,,,,6775,,,6887,,,15636,,,
Zambia,22500,,,58685,,75580,,,,96950,,96640,,93130,,,,96950,,,,,62402,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,148825,,,,,,,
Tunisia,,,17000,,,,,17000,,,,,12316,,,,,11281,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,185115,,,,,38518,,,,,48969,,,,,55580,,,,,,185115,,
Bolivia,,,,,32568,,12409,19929,24139,23898,,38169,16836,15899,16382,14914,15500,,33404,31527,35169,36044,36604,38203,,
Bhutan,,,,,,,,,,,47923,,,,49165,,,,,40212,,,,,47923,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,,,,,,,,78600,,,,,1380,,,,,,,,1648,,,,,
Georgia,,,,26115,54230,38623,40174,10466,37879,10667,11697,11488,42923,41322,40397,40729,40656,39721,40788,40941,39925,39526,38161,38161,,
Honduras,20183,26047,27825,31106,30458,31958,32172,,29449,96623,95985,33643,32382,92586,96652,94504,92787,31559,31066,31758,31329,23172,26387,27234,,
Haiti,,,,,,,,,35930,,,,,,,,,,,22365,,,,,,
Indonesia,328000,,,328320,,328320,1025000,189339,217846,9633,9912,10022,10575,9943,64688,66724,67174,66516,71932,71138,70842,71051,285908,1109749,297276,
India,564277,,,,,,,,,,,609736,,,,,468551,,464960,,,,,,,
Kyrgyzstan,,,,,,14895,,12616,12707,12447,4624,19818,76544,76676,74112,74710,75093,73865,73536,73310,77782,76593,19964,77183,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,1161,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,76925,,67515,,66120,,64940,,,,,,
Lao PDR,,,,,8296,,,,,8092,,,,,8296,,,,,8226,,,,,,
Sri Lanka,,,70000,,,,,,,71293,,,,76749,,,80872,,,80534,,,,82961,,
Moldova,,,,,23990,18726,17846,6223,16191,15748,6124,6121,18726,16142,16589,16429,15066,14379,14647,13974,12354,11741,5070,12496,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,16651,,,
Mongolia,,,58512,,,,,10000,,58512,,,,,13960,,,11198,11211,12811,,16174,,58512,,
Nicaragua,24995,,,,,23539,,,22760,,,,36550,,,,30136,,,,,28591,,,,
Nepal,,,18749,,,,,,,,21531,,,,,,,34815,,,,,,,,
Pakistan,,,,15000,,16156,,,1145555,,,101918,110910,,107672,,,108933,106492,,119017,,157636,,,
Philippines,,123985,,,205000,,,39615,,,42094,,,38483,,,38400,,,40171,,,196389,,,
Papua New Guinea,,,,1396,,,,,,,,,,,,,3658,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,3822,,,,,,,,4364,,,,,
El Salvador,,,40004,41116,,56292,72449,69162,50666,68550,71364,67589,67726,65021,68032,67448,82277,84217,84233,84668,80917,79323,88136,76217,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,,,,,,173314,,,,,,,,,,,,,,
Tajikistan,,,,,,,14044,,,,26133,2660,,,30323,,1503,,,,,,2999,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,47110,,10120,11610,,,46600,,,24274,24621,25684,26034,26253,25903,25480,25906,25095,25154,24793,24358,44070,18255,18255,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,,,,,,30000,,,,29530,,45945,,45945,,45945,,46995,,47010,,46995,,46995,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,
